GRIP Oxygen Isotopes

REFERENCES:		

Johnsen, S.J., H.B. Clausen, W. Dansgaard, N.S. Gundestrup, C.U. Hammer, U.
Andersen, K.K. Andersen, C.S. Hvidberg, D. Dahl-Jensen, J.P. Steffensen, H.
Shoji, A.E. Sveinbjörnsdóttir, J.W.C. White, J. Jouzel, and D. Fisher.
1997. The d18O record along the Greenland Ice Core Pproject deep ice core
and the problem of possible Eemian climatic instability. Journal of
Geophysical Research 102:26397-26410.

Dansgaard, W., S.J. Johnsen, H.B. Clausen, D. Dahl-Jensen, N.S. Gundestrup,
C.U. Hammer, C.S. Hvidberg, J.P. Steffensen, A.E. Sveinbjörnsdóttir, J.
Jouzel, and G.C. Bond. 1993. Evidence for general instability of past
climate from a 250 kyr ice-core record. Nature 264:218-220.

GRIP Members. 1993. Climate instability during the last interglacial period
recorded in the GRIP ice core. Nature 364:203-207.

Grootes, P.M., M. Stuiver, J.W.C. White, S.J. Johnsen, and J. Jouzel. 1993.
Comparison of oxygen isotope records from the GISP2 and GRIP Greenland ice
cores. Nature 366:552-554.

Dansgaard, W., J.W.C. White, and S.J. Johnsen. 1989. The abrupt termination
of the Younger Dryas climate event. Nature 339:532-533.

DATA DESCRIPTION:
		
This data set contains 55cm average delta 18-O values from the GRIP core. 
These data were used in the construction of the glaciological timescale 
given in the file gripage.dat and reproduced here.

DATA:

Depth (m)	del18O	Age (yrs BP)
515.35	-35.03	2340.8
515.90	-33.89	2343.8
516.45	-34.54	2346.6
517.00	-33.87	2349.5
517.55	-33.05	2352.3
518.10	-32.69	2354.9
518.65	-34.84	2357.6
519.20	-35.01	2360.5
519.75	-36.14	2363.5
520.30	-35.53	2366.8
520.85	-35.25	2369.9
521.40	-34.28	2373
521.95	-34.11	2375.8
522.50	-34.08	2378.6
523.05	-34.38	2381.4
523.60	-33.99	2384.3
524.15	-33.81	2387.1
524.70	-35.15	2389.9
525.25	-36.76	2392.9
525.80	-34.7	2396.4
526.35	-34.81	2399.3
526.90	-34.89	2402.3
527.45	-36.36	2405.3
528.00	-33.92	2408.6
528.55	-34.55	2411.4
529.10	-35.66	2414.3
529.65	-34.27	2417.5
530.20	-35.02	2420.4
530.75	-33.74	2423.4
531.30	-36.35	2426.1
531.85	-34.87	2429.5
532.40	-34.13	2432.5
532.95	-35.25	2435.3
533.50	-35.53	2438.4
534.05	-34.46	2441.5
534.60	-34.23	2444.4
535.15	-34.19	2447.3
535.70	-34.74	2450.1
536.25	-34.6	2453.1
536.80	-33.96	2456
537.35	-35.73	2458.8
537.90	-34.39	2462
538.45	-34.92	2464.9
539.00	-35.07	2467.9
539.55	-35.68	2470.9
540.10	-35.56	2474.1
540.65	-35.57	2477.3
541.20	-33.81	2480.4
541.75	-34.08	2483.2
542.30	-33.9	2486.1
542.85	-34.09	2488.9
543.40	-33.91	2491.7
543.95	-33.96	2494.6
544.50	-34.36	2497.4
545.05	-33.72	2500.3
545.60	-33.99	2503.1
546.15	-34.58	2505.9
546.70	-33.67	2508.8
547.25	-34.39	2511.6
547.80	-34.59	2514.5
548.35	-34.77	2517.5
548.90	-33.93	2520.4
549.45	-34.34	2523.3
550.00	-33.46	2526.2
550.55	-35.39	2528.9
551.10	-33.64	2532.1
551.65	-34.62	2534.8
552.20	-36.4	2537.8
552.75	-36.37	2541.2
553.30	-34.14	2544.7
553.85	-34.63	2547.6
554.40	-33.99	2550.5
554.95	-35.51	2553.4
555.50	-35.61	2556.5
556.05	-34	2559.7
556.60	-35.18	2562.6
557.15	-34.48	2565.7
557.70	-34.73	2568.6
558.25	-34.79	2571.6
558.80	-35.13	2574.6
559.35	-33.4	2577.7
559.90	-34.8	2580.4
560.45	-34.67	2583.4
561.00	-33.83	2586.4
561.55	-34.96	2589.2
562.10	-35.76	2592.3
562.65	-34.38	2595.5
563.20	-34.43	2598.5
563.75	-34.87	2601.4
564.30	-34.75	2604.4
564.85	-36.46	2607.4
565.40	-33.72	2610.9
565.95	-33.37	2613.7
566.50	-34.66	2616.5
567.05	-36.46	2619.5
567.60	-34.5	2623
568.15	-34.5	2626
568.70	-34.15	2628.9
569.25	-34.23	2631.8
569.80	-35.57	2634.7
570.35	-34.91	2637.9
570.90	-35.66	2641
571.45	-34.64	2644.2
572.00	-35.6	2647.2
572.55	-34.51	2650.4
573.10	-35.21	2653.4
573.65	-34.17	2656.5
574.20	-33.94	2659.4
574.75	-34.62	2662.3
575.30	-35.04	2665.3
575.85	-35.21	2668.4
576.40	-35.12	2671.5
576.95	-33.95	2674.6
577.50	-34.53	2677.5
578.05	-34.46	2680.4
578.60	-34.94	2683.4
579.15	-34.36	2686.5
579.70	-36.27	2689.4
580.25	-35.3	2692.9
580.80	-33.82	2696
581.35	-34.13	2698.9
581.90	-35.28	2701.8
582.45	-33.2	2705
583.00	-35.9	2707.7
583.55	-36.44	2711.1
584.10	-34.56	2714.6
584.65	-34.73	2717.6
585.20	-34.34	2720.6
585.75	-35.2	2723.6
586.30	-34.49	2726.7
586.85	-35.53	2729.7
587.40	-33.76	2732.9
587.95	-34.9	2735.8
588.50	-35.18	2738.9
589.05	-36.33	2742
589.60	-35.49	2745.5
590.15	-34.51	2748.7
590.70	-35.25	2751.7
591.25	-36.18	2754.9
591.80	-34.34	2758.3
592.35	-33.95	2761.3
592.90	-35.22	2764.2
593.45	-34.69	2767.4
594.00	-34.22	2770.4
594.55	-35.12	2773.3
595.10	-35.02	2776.5
595.65	-34.65	2779.6
596.20	-35.12	2782.6
596.75	-35.13	2785.8
597.30	-33.54	2788.9
597.85	-34.38	2791.8
598.40	-34.54	2794.7
598.95	-33.47	2797.8
599.50	-36.3	2800.6
600.05	-33.91	2804.1
600.60	-34.57	2807
601.15	-35.29	2810
601.70	-34.1	2813.2
602.25	-33.63	2816.2
602.80	-34.79	2819
603.35	-34.71	2822.1
603.90	-35.47	2825.2
604.45	-34.22	2828.4
605.00	-35.79	2831.4
605.55	-35.49	2834.7
606.10	-34.55	2838
606.65	-34.79	2841
607.20	-35.13	2844.1
607.75	-35.11	2847.2
608.30	-35.95	2850.4
608.85	-34.78	2853.8
609.40	-35.28	2856.9
609.95	-36.15	2860.1
610.50	-34.27	2863.6
611.05	-33.96	2866.5
611.60	-34.13	2869.5
612.15	-34.31	2872.4
612.70	-35.46	2875.4
613.25	-34.41	2878.7
613.80	-35.21	2881.7
614.35	-34.5	2884.9
614.90	-36.24	2887.9
615.45	-35.85	2891.4
616.00	-35.63	2894.8
616.55	-34.47	2898.1
617.10	-35.2	2901.2
617.65	-35.29	2904.4
618.20	-34.93	2907.6
618.75	-34.41	2910.7
619.30	-34.63	2913.7
619.85	-34.59	2916.8
620.40	-34.05	2919.9
620.95	-34.58	2922.8
621.50	-34.56	2925.9
622.05	-35	2929
622.60	-34.7	2932.1
623.15	-33.62	2935.2
623.70	-34.23	2938.1
624.25	-33.68	2941.1
624.80	-35.05	2944
625.35	-34.58	2947.2
625.90	-34.08	2950.3
626.45	-35.07	2953.2
627.00	-35.59	2956.4
627.55	-34.34	2959.7
628.10	-35.09	2962.8
628.65	-33.16	2966
629.20	-35.02	2968.8
629.75	-34.87	2972
630.30	-34.56	2975.1
630.85	-34.32	2978.2
631.40	-34.32	2981.2
631.95	-35.85	2984.3
632.50	-34.15	2987.7
633.05	-34.43	2990.7
633.60	-35.25	2993.7
634.15	-35.7	2997
634.70	-34.86	3000.3
635.25	-35.29	3003.5
635.80	-34.48	3006.7
636.35	-35.99	3009.8
636.90	-35.35	3013.3
637.45	-33.83	3016.5
638.00	-35.91	3019.5
638.55	-35.59	3022.9
639.10	-35.11	3026.3
639.65	-33.7	3029.5
640.20	-34.61	3032.4
640.75	-34.29	3035.5
641.30	-34.51	3038.6
641.85	-33.73	3041.7
642.40	-36.42	3044.6
642.95	-35.43	3048.2
643.50	-35.41	3051.6
644.05	-35.99	3054.9
644.60	-34.65	3058.3
645.15	-33.38	3061.5
645.70	-34.16	3064.4
646.25	-35.98	3067.4
646.80	-35.12	3070.9
647.35	-33.93	3074.1
647.90	-34.41	3077.1
648.45	-35.28	3080.2
649.00	-33.83	3083.4
649.55	-34.48	3086.4
650.10	-34.06	3089.5
650.65	-36.28	3092.5
651.20	-36.19	3096.1
651.75	-34.34	3099.7
652.30	-35.1	3102.8
652.85	-34.98	3106
653.40	-34.77	3109.2
653.95	-35.08	3112.4
654.50	-35.01	3115.6
655.05	-35.35	3118.8
655.60	-35.74	3122.1
656.15	-35.19	3125.6
656.70	-34.71	3128.8
657.25	-35.31	3132
657.80	-35.4	3135.3
658.35	-35.16	3138.6
658.90	-35.6	3141.9
659.45	-35.58	3145.3
660.00	-34.52	3148.6
660.55	-34.32	3151.8
661.10	-33.79	3154.8
661.65	-33.41	3157.8
662.20	-33.83	3160.8
662.75	-33.67	3163.8
663.30	-35.2	3166.7
663.85	-34.91	3170
664.40	-34.66	3173.2
664.95	-34.62	3176.4
665.50	-35.55	3179.5
666.05	-35.76	3182.9
666.60	-34.61	3186.4
667.15	-34.63	3189.5
667.70	-34.44	3192.7
668.25	-35.71	3195.8
668.80	-35.01	3199.2
669.35	-35.63	3202.5
669.90	-35.41	3205.9
670.45	-35.93	3209.3
671.00	-33.91	3212.8
671.55	-35.72	3215.8
672.10	-34.04	3219.3
672.65	-34.69	3222.3
673.20	-34.15	3225.5
673.75	-33.4	3228.6
674.30	-35.55	3231.5
674.85	-34.07	3234.9
675.40	-34.49	3238
675.95	-35.17	3241.1
676.50	-34.16	3244.4
677.05	-33.71	3247.5
677.60	-35.18	3250.5
678.15	-34.85	3253.8
678.70	-34.03	3257
679.25	-34.8	3260.1
679.80	-34.3	3263.3
680.35	-33.68	3266.4
680.90	-34.19	3269.4
681.45	-34	3272.5
682.00	-35.17	3275.6
682.55	-33.281	3278.9
683.10	-34.18	3281.9
683.65	-34.92	3285
684.20	-34.74	3288.2
684.75	-34.54	3291.4
685.30	-34.32	3294.6
685.85	-33.69	3297.7
686.40	-34.05	3300.7
686.95	-34.6	3303.8
687.50	-34.59	3307
688.05	-33.44	3310.2
688.60	-32.72	3313.2
689.15	-34.5	3316.1
689.70	-33.98	3319.3
690.25	-35.08	3322.3
690.80	-34.8	3325.6
691.35	-34.96	3328.9
691.90	-35.37	3332.1
692.45	-34.33	3335.5
693.00	-35.22	3338.7
693.55	-34.64	3342
694.10	-33.46	3345.2
694.65	-35.25	3348.2
695.20	-34.33	3351.6
695.75	-35.02	3354.7
696.30	-33.54	3358
696.85	-33.28	3361.1
697.40	-35.32	3364
697.95	-34.44	3367.4
698.50	-35.5	3370.6
699.05	-34.88	3374
699.60	-35.27	3377.3
700.15	-35.29	3380.7
700.70	-34.73	3384.1
701.25	-35.53	3387.3
701.80	-34.51	3390.8
702.35	-34.67	3393.9
702.90	-34.05	3397.2
703.45	-34.57	3400.3
704.00	-35.54	3403.5
704.55	-34.91	3407
705.10	-34.27	3410.2
705.65	-34.8	3413.4
706.20	-34.5	3416.7
706.75	-34.2	3419.9
707.30	-34.37	3423
707.85	-36.73	3426.2
708.40	-34.56	3430.1
708.95	-35.02	3433.3
709.50	-35.69	3436.6
710.05	-34.44	3440.2
710.60	-34.61	3443.4
711.15	-35.94	3446.6
711.70	-34.67	3450.2
712.25	-34.21	3453.4
712.80	-36	3456.6
713.35	-34.96	3460.2
713.90	-34.88	3463.5
714.45	-34.64	3466.8
715.00	-35.2	3470.1
715.55	-35.13	3473.5
716.10	-34.4	3476.9
716.65	-34.55	3480
717.20	-34.7	3483.3
717.75	-33.57	3486.5
718.30	-34.07	3489.6
718.85	-34.2	3492.8
719.40	-34.12	3495.9
719.95	-36.35	3499.1
720.50	-35.31	3502.8
721.05	-34.14	3506.3
721.60	-34.39	3509.4
722.15	-33.99	3512.6
722.70	-34.66	3515.8
723.25	-34.28	3519
723.80	-33.78	3522.2
724.35	-35.51	3525.3
724.90	-35.35	3528.8
725.45	-35.07	3532.3
726.00	-33.96	3535.6
726.55	-34.43	3538.8
727.10	-34.41	3542
727.65	-35.01	3545.2
728.20	-35.23	3548.6
728.75	-34.95	3552
729.30	-34.7	3555.4
729.85	-33.74	3558.7
730.40	-34.91	3561.8
730.95	-34.25	3565.1
731.50	-35.66	3568.3
732.05	-36.09	3571.9
732.60	-35.91	3575.6
733.15	-33.67	3579.2
733.70	-34.23	3582.3
734.25	-34.85	3585.5
734.80	-35.94	3588.8
735.35	-35.2	3592.5
735.90	-35.49	3595.9
736.45	-36.26	3599.4
737.00	-34.51	3603.2
737.55	-34.1	3606.5
738.10	-34.51	3609.7
738.65	-34.89	3612.9
739.20	-35.24	3616.3
739.75	-35.22	3619.7
740.30	-34.51	3623.2
740.85	-34.27	3626.5
741.40	-35.19	3629.7
741.95	-35.9	3633.1
742.50	-34.99	3636.8
743.05	-34.68	3640.2
743.60	-34.29	3643.5
744.15	-35.71	3646.7
744.70	-35.2	3650.3
745.25	-34.24	3653.8
745.80	-34.16	3657
746.35	-34.6	3660.2
746.90	-34.87	3663.5
747.45	-34.21	3666.9
748.00	-35.61	3670.1
748.55	-34.46	3673.7
749.10	-32.8	3676.9
749.65	-34.37	3680
750.20	-34.58	3683.2
750.75	-33.8	3686.5
751.30	-35.26	3689.7
751.85	-33.69	3693.2
752.40	-34.75	3696.3
752.95	-34.17	3699.7
753.50	-33.49	3702.9
754.05	-33.58	3706
754.60	-35.19	3709.1
755.15	-35.33	3712.6
755.70	-34.18	3716.1
756.25	-34.47	3719.3
756.80	-34.81	3722.6
757.35	-35.2	3726
757.90	-36.13	3729.5
758.45	-35.77	3733.3
759.00	-34.62	3736.9
759.55	-34.34	3740.2
760.10	-34.84	3743.5
760.65	-35.09	3746.9
761.20	-35.17	3750.4
761.75	-34.34	3753.8
762.30	-34.88	3757.1
762.85	-34.53	3760.5
763.40	-34.56	3763.8
763.95	-35.27	3767.2
764.50	-34.26	3770.7
765.05	-35.51	3773.9
765.60	-35.51	3777.5
766.15	-33.62	3781.1
766.70	-34.39	3784.3
767.25	-35.12	3787.6
767.80	-35.34	3791
768.35	-36.13	3794.6
768.90	-34.64	3798.4
769.45	-35.48	3801.7
770.00	-34.79	3805.3
770.55	-34.42	3808.7
771.10	-34.47	3812
771.65	-34.43	3815.3
772.20	-33.69	3818.7
772.75	-34.14	3821.8
773.30	-35.44	3825.1
773.85	-35.37	3828.7
774.40	-35.32	3832.2
774.95	-35.3	3835.8
775.50	-34.48	3839.3
776.05	-33.87	3842.7
776.60	-34.84	3845.9
777.15	-35.01	3849.3
777.70	-34.32	3852.8
778.25	-33.65	3856.1
778.80	-35.9	3859.3
779.35	-35.93	3863
779.90	-35.98	3866.8
780.45	-35.15	3870.5
781.00	-35.1	3874.1
781.55	-35.32	3877.6
782.10	-34.94	3881.1
782.65	-33.61	3884.6
783.20	-35.47	3887.8
783.75	-35.3	3891.4
784.30	-35.26	3894.9
784.85	-34.84	3898.5
785.40	-33.74	3901.9
785.95	-34.73	3905.1
786.50	-34.07	3908.6
787.05	-34.55	3911.8
787.60	-34.76	3915.2
788.15	-36.1	3918.6
788.70	-34.4	3922.5
789.25	-34.61	3925.8
789.80	-34.5	3929.2
790.35	-35.29	3932.6
790.90	-32.3	3936.2
791.45	-34.94	3939.2
792.00	-35	3942.7
792.55	-34.31	3946.2
793.10	-35.4	3949.5
793.65	-34.75	3953.2
794.20	-36.33	3956.6
794.75	-34.91	3960.5
795.30	-34.46	3964
795.85	-34.2	3967.4
796.40	-34.25	3970.7
796.95	-34.45	3974
797.50	-34.66	3977.4
798.05	-35.81	3980.8
798.60	-34.55	3984.6
799.15	-34.99	3988
799.70	-34.35	3991.5
800.25	-33.98	3994.9
800.80	-35.54	3998.1
801.35	-34.38	4001.8
801.90	-34.45	4005.2
802.45	-35.06	4008.6
803.00	-35.52	4012.1
803.55	-34	4015.8
804.10	-35.42	4019.1
804.65	-34.61	4022.7
805.20	-34.41	4026.2
805.75	-35.21	4029.5
806.30	-34.39	4033.1
806.85	-34.59	4036.5
807.40	-33.95	4039.9
807.95	-33.65	4043.2
808.50	-34.34	4046.5
809.05	-34.86	4049.9
809.60	-35.27	4053.4
810.15	-34.74	4057
810.70	-34.16	4060.4
811.25	-35.8	4063.8
811.80	-35.61	4067.6
812.35	-35.13	4071.3
812.90	-34.19	4074.9
813.45	-34.32	4078.2
814.00	-34.43	4081.6
814.55	-33.54	4085
815.10	-34.88	4088.3
815.65	-34.79	4091.8
816.20	-34.05	4095.3
816.75	-33.86	4098.6
817.30	-35.6	4101.9
817.85	-34.5	4105.6
818.40	-33.74	4109.1
818.95	-35.04	4112.3
819.50	-36.37	4115.9
820.05	-33.96	4119.9
820.60	-34.62	4123.3
821.15	-34.31	4126.7
821.70	-34.53	4130.1
822.25	-36.06	4133.6
822.80	-35.81	4137.5
823.35	-35.02	4141.3
823.90	-34.72	4144.9
824.45	-34.44	4148.4
825.00	-34.77	4151.8
825.55	-35.39	4155.3
826.10	-34.92	4159
826.65	-35.2	4162.5
827.20	-35.36	4166.2
827.75	-35.02	4169.9
828.30	-35.15	4173.4
828.85	-34.58	4177.1
829.40	-35.21	4180.5
829.95	-34.74	4184.2
830.50	-35.6	4187.7
831.05	-34.22	4191.5
831.60	-33.64	4194.9
832.15	-35.55	4198.2
832.70	-34.54	4201.9
833.25	-34.06	4205.4
833.80	-34.78	4208.7
834.35	-34.98	4212.3
834.90	-34.06	4215.9
835.45	-35.91	4219.2
836.00	-34.67	4223.1
836.55	-34.53	4226.6
837.10	-34.95	4230.1
837.65	-34.7	4233.7
838.20	-34.82	4237.2
838.75	-35.26	4240.8
839.30	-35.25	4244.5
839.85	-34.68	4248.1
840.40	-34.02	4251.7
840.95	-34.24	4255
841.50	-34.9	4258.5
842.05	-34.23	4262
842.60	-36.42	4265.5
843.15	-35.39	4269.6
843.70	-34.55	4273.3
844.25	-34.61	4276.8
844.80	-35.9	4280.3
845.35	-34.96	4284.2
845.90	-35.26	4287.8
846.45	-35.56	4291.5
847.00	-34.49	4295.3
847.55	-34.62	4298.8
848.10	-34.6	4302.3
848.65	-34.67	4305.9
849.20	-34.37	4309.4
849.75	-34.72	4312.9
850.30	-34.77	4316.4
850.85	-35.36	4320
851.40	-34.38	4323.7
851.95	-34.19	4327.2
852.50	-35.33	4330.7
853.05	-34.12	4334.4
853.60	-35.43	4337.8
854.15	-34.5	4341.6
854.70	-36.3	4345.1
855.25	-35.36	4349.2
855.80	-34.13	4352.9
856.35	-34.39	4356.4
856.90	-35.94	4359.9
857.45	-35.23	4363.8
858.00	-34.38	4367.5
858.55	-35.88	4371
859.10	-33.73	4375
859.65	-34.31	4378.3
860.20	-33.69	4381.8
860.75	-34.19	4385.2
861.30	-33.36	4388.6
861.85	-35.25	4392
862.40	-35.27	4395.7
862.95	-34.64	4399.4
863.50	-35.23	4403
864.05	-36.31	4406.7
864.60	-33.93	4410.8
865.15	-33.53	4414.3
865.70	-34.61	4417.6
866.25	-34.56	4421.2
866.80	-34.33	4424.7
867.35	-34.34	4428.2
867.90	-34.11	4431.7
868.45	-35.43	4435.2
869.00	-36.23	4439
869.55	-34.88	4443.1
870.10	-34.59	4446.8
870.65	-35.34	4450.3
871.20	-36.04	4454.1
871.75	-34.55	4458.1
872.30	-33.86	4461.7
872.85	-35.28	4465.1
873.40	-34.35	4468.9
873.95	-35.7	4472.4
874.50	-35.39	4476.3
875.05	-34.74	4480.1
875.60	-34.59	4483.7
876.15	-34.76	4487.3
876.70	-35.16	4491
877.25	-33.93	4494.7
877.80	-34.84	4498.1
878.35	-35.22	4501.8
878.90	-34.65	4505.6
879.45	-35.34	4509.2
880.00	-35.79	4513
880.55	-34.06	4516.9
881.10	-34.55	4520.4
881.65	-35.17	4524
882.20	-35.24	4527.7
882.75	-35.17	4531.5
883.30	-34.07	4535.3
883.85	-33.81	4538.8
884.40	-35.44	4542.2
884.95	-35.62	4546.1
885.50	-34.03	4550
886.05	-34.6	4553.5
886.60	-35.05	4557.1
887.15	-33.63	4560.8
887.70	-34.82	4564.2
888.25	-34.96	4567.9
888.80	-35.68	4571.6
889.35	-35.12	4575.5
889.90	-35.19	4579.3
890.45	-35.83	4583.1
891.00	-35.32	4587.1
891.55	-34.6	4590.9
892.10	-36.11	4594.5
892.65	-34.59	4598.6
893.20	-34.7	4602.3
893.75	-34.84	4605.9
894.30	-34.76	4609.6
894.85	-34.69	4613.3
895.40	-35.19	4616.9
895.95	-35.96	4620.7
896.50	-37.04	4624.8
897.05	-34.31	4629.4
897.60	-33.94	4632.9
898.15	-34.51	4636.4
898.70	-34.37	4640.1
899.25	-34.38	4643.6
899.80	-34.6	4647.2
900.35	-34.03	4650.9
900.90	-34.83	4654.4
901.45	-34.61	4658.1
902.00	-34.66	4661.8
902.55	-35.36	4665.4
903.10	-35.03	4669.3
903.65	-35.01	4673.1
904.20	-36.43	4676.8
904.75	-34.62	4681.1
905.30	-34.81	4684.8
905.85	-34.65	4688.5
906.40	-34.25	4692.2
906.95	-35.21	4695.7
907.50	-36.67	4699.6
908.05	-35.22	4704
908.60	-35.84	4707.8
909.15	-34.88	4711.9
909.70	-34.88	4715.6
910.25	-35.5	4719.4
910.80	-35.57	4723.3
911.35	-35.73	4727.3
911.90	-34.66	4731.3
912.45	-34.9	4735
913.00	-35.9	4738.7
913.55	-35.41	4742.8
914.10	-33.53	4746.7
914.65	-34.74	4750.2
915.20	-34.83	4753.9
915.75	-34.9	4757.7
916.30	-35.33	4761.4
916.85	-34.46	4765.3
917.40	-33.9	4769
917.95	-34.76	4772.5
918.50	-36.07	4776.2
919.05	-34.71	4780.4
919.60	-35.26	4784.1
920.15	-35.01	4788
920.70	-35.27	4791.8
921.25	-36.52	4795.7
921.80	-34.72	4800.1
922.35	-34.33	4803.8
922.90	-34.72	4807.4
923.45	-34.88	4811.2
924.00	-34.28	4815
924.55	-34.02	4818.6
925.10	-35.38	4822.2
925.65	-35.47	4826.1
926.20	-34.49	4830.1
926.75	-34.42	4833.8
927.30	-34.94	4837.4
927.85	-34.31	4841.2
928.40	-34.65	4844.9
928.95	-35	4848.6
929.50	-35.21	4852.4
930.05	-34.63	4856.3
930.60	-35.03	4860.1
931.15	-34.25	4863.9
931.70	-34.5	4867.5
932.25	-35.39	4871.2
932.80	-35	4875.2
933.35	-35.28	4879
933.90	-35.16	4883
934.45	-35.57	4886.9
935.00	-34.98	4890.9
935.55	-34.11	4894.7
936.10	-35.21	4898.3
936.65	-33.96	4902.2
937.20	-34.2	4905.8
937.75	-33.9	4909.5
938.30	-34.92	4913.1
938.85	-34.5	4916.9
939.40	-35.27	4920.6
939.95	-35.49	4924.6
940.50	-35.3	4928.6
941.05	-34.94	4932.5
941.60	-34.32	4936.4
942.15	-33.38	4940.1
942.70	-34.52	4943.6
943.25	-35.2	4947.3
943.80	-34.43	4951.2
944.35	-34.96	4954.9
944.90	-35.03	4958.8
945.45	-35.5	4962.7
946.00	-33.79	4966.7
946.55	-36.22	4970.3
947.10	-34.42	4974.6
947.65	-34.79	4978.3
948.20	-34.25	4982.2
948.75	-33.98	4985.8
949.30	-35.22	4989.5
949.85	-35.3	4993.4
950.40	-34.72	4997.4
950.95	-34.42	5001.2
951.50	-34.17	5004.9
952.05	-33.72	5008.6
952.60	-34.31	5012.2
953.15	-33.69	5015.9
953.70	-34.37	5019.5
954.25	-35.38	5023.2
954.80	-35.88	5027.3
955.35	-35.06	5031.5
955.90	-34.8	5035.4
956.45	-34.85	5039.2
957.00	-35.47	5043.1
957.55	-33.66	5047.1
958.10	-34.05	5050.7
958.65	-34.11	5054.4
959.20	-34.66	5058.1
959.75	-35.12	5061.9
960.30	-34.78	5065.8
960.85	-35.5	5069.7
961.40	-35.62	5073.8
961.95	-34.35	5077.9
962.50	-34.15	5081.6
963.05	-34.71	5085.3
963.60	-35.29	5089.2
964.15	-35.48	5093.2
964.70	-35.24	5097.2
965.25	-35.8	5101.2
965.80	-36.14	5105.4
966.35	-33.75	5109.8
966.90	-35.17	5113.4
967.45	-34.76	5117.4
968.00	-33.83	5121.3
968.55	-34.75	5124.9
969.10	-33.83	5128.8
969.65	-34.42	5132.4
970.20	-35.8	5136.2
970.75	-35.24	5140.4
971.30	-34.13	5144.4
971.85	-34.18	5148.2
972.40	-35	5151.9
972.95	-34.95	5155.8
973.50	-34.03	5159.8
974.05	-34.66	5163.5
974.60	-34.95	5167.3
975.15	-35.54	5171.3
975.70	-35.68	5175.4
976.25	-34.95	5179.6
976.80	-35.38	5183.5
977.35	-34.61	5187.6
977.90	-34.97	5191.5
978.45	-35.89	5195.4
979.00	-33.91	5199.7
979.55	-34.12	5203.4
980.10	-35.79	5207.1
980.65	-34.97	5211.4
981.20	-35.24	5215.3
981.75	-34.46	5219.4
982.30	-35.17	5223.2
982.85	-34.21	5227.2
983.40	-35.16	5231
983.95	-35.77	5235
984.50	-34.95	5239.3
985.05	-35.63	5243.2
985.60	-35.24	5247.4
986.15	-35.91	5251.5
986.70	-35.46	5255.8
987.25	-33.85	5259.9
987.80	-35.17	5263.6
988.35	-34.73	5267.7
988.90	-36.09	5271.6
989.45	-35.08	5276
990.00	-34.85	5280
990.55	-35.32	5284
991.10	-34.27	5288.1
991.65	-35.19	5291.9
992.20	-34.52	5295.9
992.75	-35.46	5299.8
993.30	-34.95	5303.9
993.85	-34.31	5307.9
994.40	-35.84	5311.8
994.95	-33.87	5316.1
995.50	-34.39	5319.8
996.05	-34.32	5323.6
996.60	-35.28	5327.5
997.15	-36.44	5331.6
997.70	-35.27	5336.2
998.25	-34.84	5340.3
998.80	-35.49	5344.2
999.35	-34.91	5348.4
999.90	-35.37	5352.4
1000.45	-35.15	5356.6
1001.00	-35.02	5360.6
1001.55	-33.47	5364.7
1002.10	-33.12	5368.3
1002.65	-35.16	5372
1003.20	-33.87	5376.1
1003.75	-34.81	5379.8
1004.30	-35.27	5383.8
1004.85	-35.21	5387.9
1005.40	-35.9	5392
1005.95	-35.17	5396.4
1006.50	-34.9	5400.5
1007.05	-34.44	5404.5
1007.60	-36.09	5408.4
1008.15	-34.69	5412.8
1008.70	-34.4	5416.8
1009.25	-34.48	5420.7
1009.80	-35.12	5424.6
1010.35	-35.16	5428.7
1010.90	-35.12	5432.8
1011.45	-34.65	5436.9
1012.00	-34.31	5440.8
1012.55	-34.75	5444.7
1013.10	-34.55	5448.7
1013.65	-34.18	5452.6
1014.20	-34.8	5456.5
1014.75	-35.73	5460.5
1015.30	-35.96	5464.8
1015.85	-34.55	5469.2
1016.40	-34.4	5473.2
1016.95	-34.86	5477.1
1017.50	-34.31	5481.1
1018.05	-34.75	5485
1018.60	-35.32	5489
1019.15	-35.16	5493.2
1019.70	-35.23	5497.3
1020.25	-35.42	5501.5
1020.80	-34.03	5505.7
1021.35	-35.06	5509.5
1021.90	-35.44	5513.7
1022.45	-34.61	5517.9
1023.00	-34.98	5521.9
1023.55	-34.68	5526
1024.10	-35.21	5530
1024.65	-34.29	5534.1
1025.20	-34.03	5538
1025.75	-33.39	5541.9
1026.30	-34.25	5545.6
1026.85	-34.57	5549.5
1027.40	-35.56	5553.5
1027.95	-35.82	5557.8
1028.50	-35.31	5562.2
1029.05	-35.28	5566.4
1029.60	-33.76	5570.6
1030.15	-34.38	5574.4
1030.70	-34.17	5578.4
1031.25	-34.24	5582.2
1031.80	-35.35	5586.2
1032.35	-34.73	5590.4
1032.90	-35.37	5594.4
1033.45	-34.3	5598.7
1034.00	-34.68	5602.6
1034.55	-34.46	5606.7
1035.10	-35.39	5610.6
1035.65	-34.47	5614.9
1036.20	-33.89	5618.9
1036.75	-35.71	5622.7
1037.30	-34.87	5627.1
1037.85	-35.96	5631.2
1038.40	-33.65	5635.7
1038.95	-34.22	5639.5
1039.50	-34.11	5643.4
1040.05	-34.13	5647.3
1040.60	-34.45	5651.3
