state,pws,city,updatedAt,views,latitude,longitude,elevation,type,distance
SC,KSCSIXMI2,Six Mile,8,50,34.871,-82.881,900,LaCrosse Weather Pro Center 2800 Series,12.687
GA,MC3389,Morganton,,3,34.871,-84.278,,,59.43
GA,KGATRENT6,Trenton,6 minutes,70,34.871,-85.508,748,AcuRite Pro Weather Center,113.67
GA,KGACLAYT4,Clayton,44,87,34.871,-83.364,2152,Davis Vantage Pro2,34.123
GA,KGABLUER4,Blue Ridge,9,212,34.871,-84.322,1722,Ambient Weather WS-1200-IP (Wireless),62.818
SC,MD3425,Roebuck,,5,34.872,-81.948,,,55.256
SC,MH0313,Greenville,,4,34.872,-82.286,,,47.039
SC,KSCGREEN133,Greenville,11 minutes,32,34.872,-82.391,960,Davis Vantage Pro2 Plus (Wireless),48.397
SC,KSCDUNCA5,Duncan,23,39,34.872,-82.115,750,AcuRite Pro Weather Center,48.969
GA,KGATRENT3,Trenton,6 minutes,79,34.872,-85.511,755,Davis Vantage Pro2 (Wireless),113.624
GA,KGARISIN6,Rising Fawn,8 minutes,76,34.872,-85.464,1821,Tycon Power Systems ProWeatherStation,112.713
SC,KSCGREER43,Greer,9,139,34.873,-82.268,866,Davis Vantage Pro2 Plus (Wireless),47.111
GA,MGA321,Blue Ridge,20,9,34.873,-84.323,1761,,62.78
GA,MGA322,Blairsville,9 minutes,8,34.873,-83.965,1866,,38.756
AR,MGRVA4,Gravelly,,,34.873,-93.657,,,449.276
SC,KSCPICKE11,Pickens,17,25,34.874,-82.718,1073,AcuRite Pro Weather Center,26.605
SC,KSCGREEN82,Greenville,19,74,34.874,-82.452,1047,Ambient Weather WS-1001-WiFi (Wireless),50.236
GA,KGAHIAWA23,Hiawassee,20,28,34.874,-83.811,4784,Davis Vantage Vue (Wireless),33.201
AR,MPRCA4,Bigelow,3,,34.874,-92.634,285,,409.537
SC,KSCGREEN58,Greenville,4 minutes,44,34.875,-82.337,988,Ambient Weather WS-1001-WiFi (Wireless),47.79
AL,KALNEWMA3,New Market,3,,34.876,-86.396,837,Davis Vantage Vue,153.106
AR,KARMAUME10,Maumelle,12,,34.876,-92.42,97,AcuRite Pro Weather Center,401.275
GA,MGA328,Clayton,18,7,34.877,-83.398,1869,,37.302
SC,KSCSUNSE2,Sunset,1,116,34.878,-82.896,860,Ambient Weather WS-1200-IP (Wireless),12.021
SC,KSCPICKE1,Pickens,17,56,34.878,-82.777,1066,Ambient Weather WS-2090 (Wireless),21.603
AR,KARNORTH5,North Little Rock,13 minutes,,34.878,-92.334,354,Ambient Weather WS-1001-WiFi (Wireless),398.043
GA,KGACLAYT7,Clayton,44,122,34.879,-83.551,2110,Davis Vantage Pro2 (Wireless),36.062
SC,KSCGREEN137,Greenville,4,8,34.88,-82.49,869,AcuRite Pro Weather Center,47.136
GA,MTT054,Epworth,,3,34.88,-84.565,,,71.459
AL,KALMERID9,Meridianville,13 minutes,,34.88,-86.521,790,AcuRite Pro Weather Center,155.919
GA,MC0166,Young Harris,,5,34.881,-83.869,,,33.97
GA,KGAMORGA9,Morganton,60,21,34.881,-84.19,2093,Ambient Weather WS-1001-WiFi (Wireless),52.236
AR,MBCMA4,Bigelow,,,34.881,-92.681,,,410.707
MS,MC0065,Olive Branch,,,34.881,-89.831,,,295.545
AL,KALFLORE32,Florence,14,,34.882,-87.636,673,Davis Vantage Vue (Wireless),202.642
SC,KSCGREER29,Greer,10,17,34.884,-82.25,866,Netatmo,48.35
SC,KSCGREEN96,Greenville,13,81,34.884,-82.464,1079,Ambient Weather WS-1001-WiFi (Wireless),49.554
GA,KGABLUER2,Blue Ridge,12,113,34.884,-84.359,1796,Vantage Pro2 Plus,65.01
AL,KALCHERO4,Cherokee,31,,34.884,-88.084,413,AcuRite Pro Weather Center,221.994
SC,MD9035,Greenville,7,23,34.885,-82.402,1016,,50.042
SC,KSCROCKH27,Rock Hill,7,57,34.886,-81.025,197,AcuRite Pro Weather Center,100.612
AR,KARNORTH8,North Little Rock,,,34.886,-92.374,268,Davis Vantage Pro2 (Wireless),398.617
SC,KSCPICKE13,Pickens,21,166,34.887,-82.704,1050,Ambient Weather WS-1200-IP (Wireless),28.241
GA,KGAHIAWA19,Hiawassee,22,29,34.887,-83.781,2350,AcuRite Pro Weather Center,31.309
AR,KARJACKS6,Jacksonville,7 minutes,,34.888,-92.091,288,Netatmo,388.266
SC,KSCROCKH28,Rock Hill,10,192,34.89,-81.035,570,Ambient Weather WS-2902,100.582
GA,MTCLG1,Clayton,,7,34.89,-83.531,,,35.898
GA,KGACLAYT6,Clayton,43,3141,34.89,-83.403,2146,RainWise MK-III,38.058
AL,MBRAA1,Meridianville,,,34.89,-86.6,,,157.317
SC,KSCSUNSE3,Sunset,0,18,34.891,-82.866,815,Ambient Weather WS-1001-WiFi (Wireless),15.074
AL,KALFLORE33,Florence,13,,34.891,-87.867,659,Ambient Weather WS-1400-IP (Wireless),211.1
GA,MC3732,Trenton,,3,34.892,-85.57,,,112.851
AL,KALTONEY13,Toney,26,,34.892,-86.767,803,Netatmo,163.212
AR,KARSHERW5,Sherwood,60,,34.892,-92.244,371,Ambient Weather WS-2080A,393.562
AL,KALNEWMA13,New Market,4,,34.893,-86.507,796,Ambient Weather WS-900-IP (Wireless),154.148
SC,MC3639,Duncan,,6,34.895,-82.132,,,51.028
AL,MD9804,Toney,,,34.895,-86.755,,,162.434
GA,MC9701,Blairsville,,8,34.896,-84.046,,,41.317
AL,KALFLORE38,Florence,12,,34.896,-87.569,505,Davis Vantage Pro2 (Wireless),198.824
MS,KMSOLIVE28,Olive Branch,13,,34.896,-89.836,334,Tycon Power Systems ProWeatherStation,294.295
SC,KSCDUNCA6,Duncan,24,51,34.897,-82.116,804,AcuRite Pro Weather Center,51.612
AL,MF0158,Cloverdale,14,,34.897,-87.797,603,,207.492
AL,MAU838,Meridianville,,,34.898,-86.53,,,154.292
AR,MUP339,Jacksonville,5 minutes,,34.898,-92.073,255,,386.471
GA,KGARISIN10,Rising Fawn,14,1023,34.899,-85.443,1952,Ambient Weather WS-1400-IP (Wireless),109.409
GA,KGACLAYT9,Clayton,6 minutes,11,34.899,-83.379,2224,Netatmo,36.185
MS,MF0416,Mineral Wells,13,,34.899,-89.904,364,,297.005
GA,KGABLAIR40,Blairsville,9 minutes,11,34.9,-84.063,1949,Ambient Weather WS-1400-IP (Wireless),42.084
AL,MWTAA1,Meridianville,,,34.9,-86.53,,,154.083
MS,KMSNESBI7,Nesbit,60,,34.9,-89.903,366,other,296.864
GA,KGABLAIR14,Blairsville,9 minutes,137,34.901,-84.034,1883,Davis Vantage VUE,40.163
AR,MD2612,North Little Rock,34,,34.901,-92.213,459,,391.614
MS,KMSOLIVE26,Olive Branch,15,,34.901,-89.839,387,AcuRite Pro Weather Center,293.938
GA,KGABLAIR39,Blairsville,9 minutes,31,34.902,-83.991,2110,Ambient Weather WS-1200-IP (Wireless),37.521
SC,KSCSPART22,Spartanburg,4 minutes,31,34.903,-82.029,705,Ambient Weather WS-1001-WiFi (Wireless),54.88
SC,KSCGREEN109,Greenville,,13,34.903,-82.38,1180,AcuRite Pro Weather Center,51.528
GA,KGAYOUNG1,Young Harris,20,540,34.903,-83.856,1946,Davis Vantage Pro2 (Wireless),31.266
AL,KALTONEY15,Toney,27,,34.904,-86.754,863,AcuRite Pro Weather Center,161.495
GA,MTULG1,Mountain City,6 minutes,133,34.906,-83.334,2725,,32.49
AR,KARCARLI2,Carlisle,1,,34.906,-91.764,190,Davis Vantage Vue,371.983
SC,KSCGREEN106,Greenville,25,46,34.907,-82.409,1073,Ambient Weather WS-1001-WiFi (Wireless),52.566
SC,KSCTAMAS2,Tamassee,3,57,34.908,-83.061,1083,Ambient Weather WS-1400-IP (Wireless),12.29
GA,KGAHIAWA17,Hiawassee,18,27,34.908,-83.67,2162,Davis Vantage Pro2 Plus (Wireless),29.303
SC,KSCTAYLO30,Taylors,10,17,34.909,-82.349,950,Davis Vantage Pro2 (Wireless),51.68
GA,KGACLAYT12,Clayton,42,89,34.909,-83.464,2724,Davis Vantage Pro2 Plus (Wireless),37.797
SC,MH0338,Fingerville,,4,34.91,-82,,,56.681
SC,KSCSPART1,Spartanburg,4 minutes,52,34.91,-81.998,779,WM-918,56.76
SC,KSCPICKE12,Pickens,23,49,34.91,-82.732,1043,Ambient Weather WS-1200-IP (Wireless),26.762
SC,KSCGREER32,Greer,9,65,34.91,-82.255,863,AcuRite Pro Weather Center,51.223
SC,KSCGREER47,Greer,9,168,34.91,-82.252,875,RainWise MK-III-LR,51.229
GA,KGALOOKO8,Lookout Mountain,1,90,34.91,-85.393,1609,Ambient Weather WS-900-IP (Wireless),107.427
AR,KARCABOT8,Cabot,2 minutes,,34.911,-92.009,312,AcuRite Pro Weather Center,382.262
GA,MC9312,Flintstone,,3,34.912,-85.324,,,102.478
SC,KSCSPART15,Spartanburg,4 minutes,93,34.913,-81.998,787,Ambient Weather WS-1400-IP (Wireless),57.06
SC,KSCBELAI4,Belair,8 minutes,3,34.913,-80.874,518,Catawba Indian Nation,110.254
GA,KGAEPWOR2,Cohutta Wilderness,7,87,34.913,-84.526,2467,WS-2308CH,67.493
GA,KGABLAIR28,Blairsville,9 minutes,52,34.913,-83.872,2018,AcuRite Pro Weather Center,30.793
MS,KMSSOUTH10,Southaven,7,,34.913,-89.96,390,AcuRite Pro Weather Center,298.209
AL,MC8266,Cloverdale,,,34.914,-87.86,,,208.558
AR,KARLONOK8,Lonoke,3,,34.914,-91.941,351,AcuRite Pro Weather Center,378.885
GA,KGARABUN8,Rabun Gap,2 minutes,77,34.915,-83.42,2871,AcuRite Pro Weather Center,40.07
MS,KMSSOUTH4,Southaven,6,,34.915,-89.98,375,,298.946
GA,KGABLUER3,Blue Ridge,,141,34.917,-84.476,1880,Davis Vantage PRO2 w/FARS,66.9
GA,KGAROSSV13,Rossville,9,39,34.918,-85.296,843,other,100.125
SC,KSCGREEN9,Greenville,30,76,34.919,-82.362,1025,DAVIS VANTAGE PRO 2,52.965
AL,KALTONEY16,Toney,28,,34.919,-86.675,823,AcuRite Pro Weather Center,156.956
MS,KMSSOUTH3,Southaven,6,,34.919,-89.964,395,Ambient Weather WS-1001-WiFi (Wireless),297.82
SC,KSCGREEN53,Greenville,19,27,34.921,-82.416,1076,Davis Vantage Vue (Wireless),54.23
GA,KGAHIAWA13,Hiawassee,23,45,34.921,-83.715,2060,AcuRite Pro Weather Center,27.316
AL,MD9507,Florence,0,,34.921,-87.65,734,,199.213
SC,KSCROCKH25,Rock Hill,9 minutes,59,34.922,-81.112,617,AcuRite Pro Weather Center,100.819
AR,MUP533,Wheatley,31,,34.922,-91.078,206,,344.05
GA,MCOHG1,Cisco,2,32,34.923,-84.659,1603,,68.282
GA,KGAMINER10,Mineral Bluff,11,55,34.923,-84.253,1660,Ambient Weather WS-1200-IP (Wireless),54.446
GA,KGAHIAWA12,Hiawassee,16,28,34.923,-83.627,2480,Davis Vantage Vue (Wireless),28.773
AR,KARLONOK7,Lonoke,3,,34.923,-91.817,259,LaCrosse Wireless Professional Weather Center 1900 Series,372.562
SC,KSCROCKH8,Rock Hill,9,52,34.926,-81.074,630,Davis Advantage Pro,102.618
AL,MD9506,Waterloo,27,,34.926,-87.988,734,,213.347
AL,KALTONEY20,Toney,26,,34.926,-86.826,876,Ambient Weather WS-1001-WiFi (Wireless),162.312
SC,KSCEASLE12,Easley,,7,34.928,-82.57,0,Netatmo,41.294
GA,MGA318,Ringgold,19,20,34.928,-85.152,977,,89.965
AL,KALELKMO9,Elkmont,60,,34.928,-86.857,853,RainWise MK-III-LR,163.478
SC,KSCTAYLO18,Taylors,4,163,34.93,-82.332,1000,Davis Vantage Vue (Wireless),53.785
SC,KSCGREEN102,Greenville,12,44,34.93,-82.463,1010,AcuRite Pro Weather Center,50.725
GA,KGACOHUT5,Cohutta,7,108,34.93,-84.955,899,AcuRite Pro Weather Center,78.619
AR,MAT090,Perryville,,,34.931,-92.803,,,410.806
GA,KGAHIAWA15,Hiawassee,23,21,34.932,-83.781,2500,AcuRite Pro Weather Center,26.37
GA,KGABLAIR5,Blairsville,9 minutes,125,34.932,-84.016,1978,Davis Vantage PRO2,36.538
AL,KALNEWMA11,New Market,5,,34.932,-86.533,807,Davis Vantage Pro2 (Wireless),150.822
MS,KMSCORIN4,Corinth,44,,34.932,-88.51,471,Davis Vantage Pro2 Plus (Wireless),235.725
SC,KSCFORTM23,Fort Mill,,68,34.933,-80.828,574,Ambient Weather WS-1001-WiFi (Wireless),114.451
GA,KGAHIAWA20,Hiawassee,18,18,34.933,-83.681,2356,Ambient Weather WS-1001-WiFi (Wireless),26.387
AL,MD6630,Toney,,,34.933,-86.683,,,155.834
AL,KALELKMO8,Elkmont,59,,34.933,-86.826,866,Ambient Weather WS-1400-IP (Wireless),161.629
GA,KGAHIAWA10,Hiawassee,21,75,34.934,-83.733,2105,Acu-Rite 01055,25.813
GA,KGAMINER5,Mineral Bluff,10,29,34.935,-84.254,1890,AcuRite Pro Weather Center,53.875
SC,KSCSPART23,Spartanburg,9 minutes,93,34.936,-81.861,692,Davis Vantage Pro2 (Wireless),65.552
AR,KARAUSTI2,Austin,46,,34.936,-91.964,361,Davis Vantage Pro2 (Cabled),377.803
SC,KSCTAYLO11,Taylors,4,108,34.937,-82.294,971,Peet Bros Ultimeter 2100,54.275
AL,KALLESTE2,Lester,4,,34.938,-87.089,790,AcuRite Pro Weather Center,173.858
AR,KARBIGEL2,Wye,34,,34.938,-92.648,722,LaCrosse WV2310,403.702
SC,KSCGREER17,Greer,11,39,34.939,-82.234,1014,Davis Vantage Pro2 (Cabled),54.506
AL,KALWATER2,Waterloo,6,,34.939,-88.046,449,AcuRite Pro Weather Center,214.987
MS,KMSIUKA4,Iuka,,,34.939,-88.193,450,AcuRite Pro Weather Center,222.633
SC,KSCGREEN48,Greenville,28,23,34.94,-82.406,1818,Ambient Weather WS-1000 (Wireless),56.042
GA,KGAHIAWA18,Hiawassee,19,25,34.94,-83.671,2080,Ambient Weather WS-1400-IP (Wireless),25.816
AL,KALTONEY19,Toney,28,,34.94,-86.713,881,Ambient Weather WS-900-IP (Wireless),156.276
SC,KSCSPART18,Spartanburg,13,59,34.941,-81.91,787,Rainwise MK-III,63.601
MS,KMSCORIN7,Corinth,43,,34.943,-88.555,472,AcuRite Pro Weather Center,236.22
SC,KSCPICKE9,Pickens,19,105,34.944,-82.674,1204,Ambient Weather WS-1400-IP (Wireless),33.17
GA,KGABLAIR19,Blairsville,9 minutes,78,34.944,-84.067,1913,Oregon Scientific Professional Weather Center,39.084
AR,KARDESAR3,Des Arc,23,,34.946,-91.567,194,Davis Vantage Pro2 (Wireless),360.044
AL,KALNEWMA2,New Market,3,,34.948,-86.473,820,Davis VantageVue,147.384
SC,KSCEASLE9,Easley,2 minutes,11,34.949,-82.599,1168,Ambient Weather WS-2090 (Wireless),39.631
MS,KMSOLIVE21,Olive Branch,13,,34.949,-89.904,354,Oregon Scientific Professional Weather Center,292.185
MS,KMSOLIVE9,Olive Branch,2,,34.949,-89.878,322,Davis Vantage Pro2,291.007
GA,KGALOOKO7,Lookout Mountain,1,47,34.95,-85.393,0,Netatmo,103.069
AR,MNMLA4,Ola,,,34.95,-93.167,,,423.665
MS,MD8879,Mineral Wells,,,34.95,-89.88,,,291.001
SC,ME3051,Greenville,,8,34.951,-82.422,1174,,54.962
SC,KSCGREER46,Greer,3 minutes,29,34.951,-82.23,885,AcuRite Pro Weather Center,55.855
AL,KALELKMO10,Elkmont,60,,34.951,-86.822,866,Netatmo Weather Station,159.699
MS,KMSOLIVE23,Olive Branch,14,,34.952,-89.865,322,Bloomsky,290.134
MS,KMSOLIVE15,Olive Branch,0,,34.952,-89.877,371,Davis Vantage Pro2 (Cabled),290.673
GA,KGAHIAWA22,Hiawassee,22,152,34.953,-83.627,2200,Ambient Weather WS-1400-IP (Wireless),25.67
MS,KMSOLIVE5,Olive Branch,2,,34.953,-89.829,387,Davis Vantage Vue,288.437
MS,KMSBYHAL11,Byhalia,31,,34.953,-89.619,413,AcuRite Pro Weather Center,279.671
SC,KSCSPART3,Spartanburg,4 minutes,97,34.954,-82.01,870,Davis Vantage Pro 2,60.767
SC,KSCGREER45,Greer,3 minutes,48,34.954,-82.257,1079,AcuRite Pro Weather Center,56.101
SC,KSCTAYLO32,Taylors,4,80,34.955,-82.341,984,Bloomsky2 + Storm,56.637
SC,KSCTAYLO26,Taylors,4,5,34.955,-82.341,980,other,56.637
GA,KGABLUER23,Blue Ridge,12,70,34.955,-84.362,1765,Ambient Weather WS-1400-IP (Wireless),61.828
SC,KSCSPART13,Spartanburg,11,4,34.956,-81.925,764,South Carolina DHEC,64.359
GA,KGALOOKO3,Lookout Mountain,1,79,34.956,-85.384,1890,other,102.29
AR,MAPLA4,Casa,,,34.956,-92.984,,,416.336
SC,KSCSPART14,Spartanburg,4 minutes,4,34.957,-81.998,820,Netatmo,61.503
AL,KALELKMO11,Elkmont,60,,34.957,-86.935,794,Ambient Weather WS-900-IP (Wireless),164.32
MS,KMSOLIVE14,Olive Branch,14,,34.957,-89.912,341,Davis Vantage Vue (Wireless),291.783
SC,KSCFORTM21,Fort Mill,,12,34.958,-80.866,0,Netatmo,114.837
SC,KSCBELAI2,Belair,17,5,34.958,-80.87,0,Netatmo,114.641
GA,KGARINGG10,Ringgold,13,63,34.958,-85.099,784,AcuRite Pro Weather Center,84.24
GA,KGARINGG11,Ringgold,11,150,34.959,-85.186,778,Ambient Weather WS-1400-IP (Wireless),89.679
MS,KMSOLIVE18,Olive Branch,1,,34.959,-89.862,338,Ambient Weather WS-1001-WiFi (Wireless),289.322
MS,KMSMAYWO2,Maywood,2,,34.959,-89.879,367,LaCrosse,290.088
GA,KGAROSSV4,Rossville,9,48,34.96,-85.268,830,AcuRite Pro Weather Center,95.121
GA,KGAYOUNG2,Blairsville,36,38,34.96,-83.971,2160,Vantage Vue,31.45
SC,ME1818,Rock Hill,,6,34.962,-81.127,,,104.422
SC,KSCFORTM41,Fort Mill,6 minutes,23,34.962,-80.899,705,Davis Vantage Vue (Wireless),113.625
SC,KSCFERNW2,Fernwood Farms,5 minutes,1,34.962,-81.894,787,Netatmo,66.35
AL,KALTONEY18,Toney,27,,34.962,-86.714,866,Ambient Weather WS-1001-WiFi (Wireless),154.112
AR,KARMAYFL3,Mayflower,0,,34.962,-92.453,322,AcuRite Pro Weather Center,393.738
GA,KGALOOKO6,Lookout Mountain,1,40,34.963,-85.366,1670,AcuRite Pro Weather Center,101.297
SC,MAS329,Lyman,,7,34.964,-82.133,,,58.47
SC,KSCTRAVE20,Travelers Rest,52,64,34.964,-82.414,1097,AcuRite Pro Weather Center,56.081
SC,KSCLYMAN1,Lyman,7 minutes,63,34.964,-82.133,938,Davis Vantage Pro2,58.47
SC,KSCLYMAN5,Lyman,7 minutes,88,34.964,-82.194,932,AcuRite Pro Weather Center,57.574
SC,KSCFORTM42,Fort Mill,4 minutes,14,34.964,-80.926,600,Ambient Weather WS-900-IP (Wireless),112.563
GA,KGARINGG4,Ringgold,14,44,34.964,-85.17,696,AcuRite Pro Weather Center,88.246
GA,KGABLAIR37,Blairsville,9 minutes,7,34.964,-84.065,1942,AcuRite Pro Weather Center,37.571
MS,KMSOLIVE30,Olive Branch,15,,34.964,-89.757,387,AcuRite Pro Weather Center,284.241
MS,KMSHORNL4,Horn Lake,5 minutes,,34.964,-90.087,299,AcuRite Pro Weather Center,299.462
SC,KSCTRAVE15,Travelers Rest,54,51,34.965,-82.419,1096,Ambient Weather WS-1001-WiFi (Wireless),55.68
SC,KSCSPART29,Spartanburg,57,15,34.965,-81.878,896,AcuRite Pro Weather Center,67.396
GA,MTT376,Rabun Gap,,3,34.965,-83.524,,,29.512
GA,KGAHIAWA3,Hiawassee,20,3137,34.965,-83.813,2140,Davis Vantage Pro 2,23.477
SC,KSCFORTM35,Fort Mill,28,76,34.966,-80.9,585,La Crosse Technology 330-2315 Professional Weather Station,113.958
GA,MD3882,Fort Oglethorpe,28,15,34.966,-85.25,721,,93.445
GA,KGAMCCAY3,McCaysville,15,20,34.967,-84.407,1673,AcuRite Pro Weather Center,61.679
GA,MTT378,Rabun Gap,,3,34.968,-83.555,,,27.484
GA,KGAMORGA11,Morganton,,26,34.968,-84.123,1847,Ambient Weather WS-1001-WiFi (Wireless),41.693
AL,KALKILLE3,Killen,0,,34.968,-87.502,745,Davis Vantage Pro 2,189.131
AR,KARCABOT16,Cabot,9 minutes,,34.968,-92.158,390,AcuRite Pro Weather Center,382.883
MS,KMSSOUTH2,Southaven,8 minutes,,34.968,-89.961,345,Vantage Vue,293.008
SC,KSCFORTM29,Fort Mill,29,68,34.969,-80.935,610,AcuRite Pro Weather Center,112.638
SC,KSCFORTM6,Fort Mill,5,101,34.969,-80.813,620,Acurite 1515,118.519
GA,KGAMCCAY5,McCaysville,26,36,34.97,-84.391,1001,AcuRite Pro Weather Center,61.516
MS,KMSOLIVE33,Olive Branch,16,,34.97,-89.824,374,AcuRite Pro Weather Center,286.565
SC,MC4872,Clifton,,8,34.971,-81.842,,,69.739
GA,KGAMORGA14,Morganton,3 minutes,12,34.971,-84.107,2175,AcuRite Pro Weather Center,40.28
SC,KSCSPART11,Spartanburg,60,32,34.972,-81.89,810,Davis Vantage Pro2,67.49
GA,KGAEPWOR3,Epworth,18,29,34.972,-84.394,1512,AcuRite Pro Weather Center,61.262
GA,KGAMORGA13,Morganton,,4,34.973,-84.128,0,Netatmo,41.792
GA,KGAMCCAY4,McCaysville,13,46,34.973,-84.393,1506,AcuRite Pro Weather Center,61.163
SC,KSCSPART27,Spartanburg,60,53,34.974,-81.835,784,AcuRite Pro Weather Center,70.372
SC,KSCCYPRE2,Cypress Creek (Spartanburg),6 minutes,12,34.974,-81.872,896,LaCrosse,68.533
SC,MC9949,Taylors,,8,34.975,-82.346,,,58.895
SC,KSCSPART9,Spartanburg,52,49,34.975,-81.921,755,AcuRite Pro Weather Center,66.382
MS,KMSOLIVE29,Olive Branch,12,,34.975,-89.872,341,other,288.229
MS,KMSBARTO2,Barton,46,,34.975,-89.708,364,LaCrosse,281.092
GA,KGASKYVA2,Sky Valley,60,154,34.976,-83.33,3750,Vantage Pro 2,35.472
MS,KMSOLIVE19,Olive Branch,15,,34.976,-89.826,349,AcuRite Pro Weather Center,286.071
TN,KTNAPISO2,Apison,60,37,34.977,-85.045,864,AcuRite Pro Weather Center,79.402
SC,KSCMUSIC2,Musical Heights,28,4,34.977,-81.207,708,South Carolina DHEC,103.608
SC,KSCFORTM19,Fort Mill,30,33,34.977,-80.891,538,Netatmo,115.427
GA,KGATRENT2,Trenton,6 minutes,42,34.977,-85.509,1470,,102.277
GA,KGASKYVA3,Sky Valley,60,138,34.977,-83.332,3406,AcuRite Pro Weather Center,35.685
GA,KGAMINER12,Mineral Bluff,11,166,34.977,-84.356,1680,AcuRite Pro Weather Center,60.422
AL,KALHAZEL7,Hazel Green,3 minutes,,34.978,-86.629,853,AcuRite Pro Weather Center,149.277
AR,KARMAYFL2,Mayflower,38,,34.978,-92.41,289,Davis Vantage Pro2 (Cabled),390.527
SC,MSC007,Una,,7,34.979,-82.011,,,63.301
GA,KGAROSSV6,Rossville,,21,34.979,-85.285,764,AcuRite Pro Weather Center,94.945
GA,KGAHIAWA9,Hiawassee,21,81,34.979,-83.757,1930,Davis VantagePro2 Plus,20.917
SC,KSCGREER35,Greer,3 minutes,53,34.98,-82.276,906,AcuRite Pro Weather Center,58.989
GA,KGAROSSV9,Rossville,9,55,34.98,-85.281,1020,AcuRite Pro Weather Center,94.592
SC,KSCYORK7,York,4,37,34.981,-81.158,735,other,105.423
AR,KARCABOT5,Cabot,2 minutes,,34.981,-91.998,295,Amb Weather WS-2080,375.055
SC,KSCTAYLO12,Taylors,1,63,34.982,-82.305,981,Vantage Pro2 (fan aspirated),59.316
GA,KGALOOKO5,Lookout Mountain,8,87,34.982,-85.36,2024,Davis Vantage Pro2 Plus (Cabled),99.136
SC,KSCROCKH24,Rock Hill,9 minutes,14,34.983,-80.989,551,Bloomsky,111.682
SC,KSCFORTM28,Fort Mill,30,19,34.983,-80.893,0,Netatmo,115.905
GA,KGAHIAWA21,Hiawassee,18,33,34.983,-83.792,1939,AcuRite Pro Weather Center,21.029
GA,KGAYOUNG4,Young Harris,21,143,34.984,-83.945,1972,AcuRite Pro Weather Center,27.884
GA,KGAMINER9,Mineral Bluff,10,15,34.984,-84.293,2060,Ambient Weather WS-1001-WiFi (Wireless),54.778
MS,MAU309,Mineral Wells,,,34.985,-89.859,,,286.678
MS,KMSOLIVE32,Olive Branch,28,,34.985,-89.9,401,Ambient Weather WS-1001-WiFi (Wireless),288.547
MS,KMSOLIVE12,Olive Branch,2,,34.985,-89.86,372,AcuRite Pro Weather Center,286.723
SC,KSCSPART20,Spartanburg,60,28,34.986,-81.867,814,AcuRite Pro Weather Center,69.906
AR,KARCABOT14,Cabot,2 minutes,,34.986,-92.069,333,AcuRite Pro Weather Center,377.924
GA,KGADILLA2,Dillard,13,231,34.987,-83.33,3386,Ambient Weather WS-900-IP (Wireless),36.119
AL,KALLESTE3,Lester,4,,34.987,-87.15,790,AcuRite Pro Weather Center,172.81
AL,KALARDMO2,Ardmore,6 minutes,,34.987,-86.819,863,Vantage Pro2,156.071
AR,MWLTA4,Bluffton,,,34.987,-93.613,,,436.14
SC,KSCROCKH20,Rock Hill,9 minutes,22,34.988,-81.06,662,Netatmo,109.42
MS,KMSOLIVE20,Olive Branch,16,,34.988,-89.896,371,Tycon Power Systems ProWeatherStation,288.075
TN,MD4595,East Ridge,,4,34.989,-85.237,,,90.875
SC,KSCWELLF3,Wellford,46,6,34.989,-82.076,872,South Carolina DHEC,62.428
TN,KTNEASTR2,East Ridge,60,55,34.99,-85.238,722,Davis Vantage Vue (Wireless),90.872
SC,KSCYORK10,York,5,56,34.99,-81.233,217,AcuRite Pro Weather Center,104.329
AR,KARCREST2,Crestwood,60,,34.99,-92.009,291,LaCrosse,374.71
TN,KTNSOUTH3,South Pittsburg,3,113,34.991,-85.727,630,AcuRite Pro Weather Center,107.613
AR,MC1952,Houston,,,34.991,-92.613,,,397.015
SC,KSCWELLF4,Wellford,47,73,34.993,-82.102,830,AcuRite Pro Weather Center,62.24
TN,MD9431,Isabella,,3,34.994,-84.377,,,59.058
SC,KSCTRAVE9,Travelers Rest,53,62,34.994,-82.472,1152,Davis Vantage Vue (Wireless),52.257
SC,KSCPICKE17,Pickens,21,78,34.994,-82.746,1253,AcuRite Pro Weather Center,30.799
GA,KGAHIAWA4,Hiawassee,20,17,34.994,-83.698,2687,Davis Vantage VUE,19.451
SC,KSCPICKE20,Pickens,8,18,34.995,-82.745,1079,Davis Vantage Pro2 (Wireless),30.941
AR,MUP311,Hunter,7,,34.996,-91.156,209,,340.456
AR,KARCABOT7,Cabot,2 minutes,,34.996,-92.019,374,Bloomsky2 + Storm,374.608
TN,KTNCOPPE5,Copperhill,18,18,34.997,-84.413,1654,AcuRite Pro Weather Center,58.313
TN,KTNCHATT8,Chattanooga,24,245,35.001,-85.126,927,Davis Vantage VUE,82.504
SC,KSCTAYLO25,Taylors,,76,35.001,-82.316,965,Davis Vantage Pro2 (Cabled),61.488
SC,MD9034,Travelers Rest,56,20,35.002,-82.43,1049,,56.139
TN,MANDT1,Sherwood,,4,35.003,-85.897,,,113.919
SC,ME9316,Greer,3 minutes,8,35.003,-82.285,967,,61.56
SC,KSCROCKH19,Rock Hill,9 minutes,55,35.003,-81.032,594,AcuRite Pro Weather Center,111.982
TN,KTNCHATT95,Chattanooga,12,156,35.004,-85.233,679,AcuRite Pro Weather Center,89.52
